id;profession;createdAt;updatedAt
1;авербандщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
2;авиационный механик (техник) по обслуживанию и ремонту воздушных судов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
3;авиационный механик перронно-технической бригады (птб) аэропорта;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
4;авиационный механик (техник) по планеру и двигателям;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
5;авиационный механик (техник) по приборам и электрооборудованию;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
6;авиационный механик (техник) по радиооборудованию;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
7;авиационный техник (механик) по парашютным и аварийно-спасательным средствам;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
8;авиационный техник по горюче-смазочным материалам;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
9;автоклавщик в гидролизном производстве;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
10;автоклавщик в производстве стекла и стеклоизделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
11;автоклавщик в производстве теплоизоляционных материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
12;автоклавщик литья под давлением;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
13;автоклавщик на запарке брикетов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
14;автоклавщик-сушильщик аккумуляторных пластин в производстве свинцовых аккумуляторов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
15;автоматчик вязальных автоматов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
16;автоматчик игольно-платинных изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
17;автоматчик картонажного производства;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
18;автоматчик клеильных полуавтоматов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
19;автоматчик на узловязальных и навивочных автоматах и станках;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
20;автоматчик по изготовлению деталей клавишных инструментов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
21;автоматчик ремизных автоматов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
22;автоматчик холодно-высадочных автоматов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
23;автоматчик шпиндельных автоматов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
24;автоматчик элементного производства;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
25;агломератчик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
26;агрегатчик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
27;аквадировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
28;акклиматизатор;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
29;аккумуляторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
30;алундировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
31;альпинист промышленный;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
32;алюминировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
33;алюминировщик электротехнических изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
34;ангобировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
35;ангобировщик санитарно-строительных изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
36;антенщик-мачтовик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
37;антикоррозийщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
38;аппаратчик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
39;аппаратчик карбоксилирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
40;аппаратчик сульфирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
41;аппаратчик абсолютирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
42;аппаратчик абсорбции;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
43;аппаратчик адсорбции;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
44;аппаратчик азотирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
45;аппаратчик активации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
46;аппаратчик алкилирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
47;аппаратчик аминирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
